Syntax version=4
Wed Apr 30 08:45:41 2025
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		CyberGearMotorList[0].angle	LegGeometryList[0].l	LegGeometryList[0].x_c	LegGeometryList[0].y_c	springConstant	cur1	cur2	dampingConstant	LegGeometryList[0].l_dot	roll_kalman_offset	roll_kalman_velocity	estimated_x	estimated_x_dot	total_force_out	current_motor1_out	current_motor2_out
D:	time(ms)	(0x2000003c,6)	(0x200001f4,6)	(0x20000204,6)	(0x20000208,6)	(0x20000870,6)	(0x20000880,6)	(0x20000884,6)	(0x20000874,6)	(0x200001f8,6)	(0x200008a0,6)	(0x20000570,7)	(0x200008ac,6)	(0x200008b0,6)	(0x200008c0,6)	(0x200008b8,6)	(0x200008bc,6)
D:	30197.91	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.148708	12.139848	5.902615	1.253338	-90.936691	-3.061536	-3.061536
D:	30201.12	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.092648	12.543860	5.902615	1.253338	-92.011032	-3.097705	-3.097705
D:	30204.27	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.092648	12.543860	5.902615	1.253338	-92.011032	-3.097705	-3.097705
D:	30207.42	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.092648	12.543860	5.926222	1.248050	-92.011032	-3.097705	-3.097705
D:	30210.50	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.092648	12.543860	5.926222	1.248050	-92.011032	-3.097705	-3.097705
D:	30214.51	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.092648	12.543860	5.926222	1.248050	-92.011032	-3.097705	-3.097705
D:	30218.15	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.092648	12.543860	5.926222	1.248050	-92.011032	-3.097705	-3.097705
D:	30222.20	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.118641	16.118441	5.926222	1.248050	-94.549789	-3.183176	-3.183176
D:	30225.46	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.118641	16.118441	5.926222	1.248050	-94.549789	-3.183176	-3.183176
D:	30228.81	1.570606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-36.118641	16.118441	5.950576	1.242762	-94.549789	-3.183176	-3.183176
